knn,blocks,imbalance,kahip_mode,layers,nodes,epochs,batch_size,T,build_time_with_ivfflat,build_time_without_ivfflat,search_time_with_true,search_time_without_true,true_compute_time,recall,avg_AF,QPS,tApprox
1,2000,0.1,0,3,256,3,1024,100,,73.55240833700373,362.2933852720016,214.12026901100035,150.37719391200517,0.9629,1.00365608,47.78431114,0.02092737
1,2000,0.1,0,5,256,3,1024,2,,94.19842276800046,161.3503178529936,13.456281178005156,147.76301183000032,0.0492,1.25893582,1194.12277436,0.00083743
1,2000,0.1,0,5,256,3,1024,50,,94.19842276800046,262.72502407599677,109.94121822000307,151.6351906589989,0.5178,1.06923322,95.22153321,0.01050183
1,2000,0.1,0,5,256,3,1024,90,,94.19842276800046,315.8496433889959,166.62872849699488,148.6327966050012,0.7092,1.03670369,61.84750299,0.0161688
1,2000,0.1,0,5,256,3,1024,100,,94.19842276800046,334.5121170759958,180.37849142100458,151.5008534449953,0.7449,1.0317185,57.00747935,0.01754156
1,2000,0.1,0,6,256,3,1024,2,,104.29375978900498,159.13629196600232,7.789716594998026,150.75183073399967,0.0008,1.61055604,3737.74919994,0.00026754
1,2000,0.1,0,6,256,3,1024,50,,104.29375978900498,192.14535242899728,36.89715677600179,155.21479658199678,0.0238,1.31531708,313.44336272,0.00319037
1,2000,0.1,0,6,256,3,1024,90,,104.29375978900498,217.69778514099744,65.32115747599892,152.32428968600288,0.0426,1.27195599,165.85522708,0.00602935
1,2000,0.1,0,6,256,3,1024,100,,104.29375978900498,224.01615903399943,72.49620387000323,151.15233549700497,0.047,1.26460823,148.19418509,0.0067479
1,2000,0.1,0,3,64,3,1024,2,,43.85323821399652,165.3060651420019,13.565542939002626,151.150637879,0.0564,1.25304498,1166.01371693,0.00085762
1,2000,0.1,0,3,64,3,1024,50,,43.85323821399652,264.73029677400336,111.35334180899372,152.90123527099786,0.5256,1.07084318,93.96262225,0.01064253
1,2000,0.1,0,3,64,3,1024,90,,43.85323821399652,315.07785021999734,164.59653570299997,150.25390286000038,0.6928,1.04102486,62.63956395,0.01596435
1,2000,0.1,0,3,64,3,1024,100,,43.85323821399652,331.5302285020007,177.21533643099974,152.6491363929963,0.725,1.03719477,58.07706872,0.0172185
1,2000,0.1,0,3,128,3,1024,2,,52.749594559994875,170.81630959500035,18.376566970997374,151.9542244969998,0.0874,1.21644874,751.43067837,0.00133079
1,2000,0.1,0,3,128,3,1024,50,,52.749594559994875,290.7459904740026,139.03385898099805,152.10333447399898,0.7086,1.03877152,74.58119878,0.0134082
1,2000,0.1,0,3,128,3,1024,90,,52.749594559994875,343.53468297999643,190.55912414400518,151.30014059500536,0.8663,1.01656835,53.90397245,0.01855151
1,2000,0.1,0,3,128,3,1024,100,,52.749594559994875,356.2959885989985,208.0206564120017,149.98354482899595,0.8896,1.01359501,49.30775322,0.02028079
1,2000,0.1,0,3,256,3,1024,2,,80.13647546500579,176.75112954099313,24.041762364002352,152.07261878199643,0.1263,1.18959417,527.92434174,0.00189421
1,2000,0.1,0,3,256,3,1024,50,,80.13647546500579,311.77470493599685,156.4715823269944,153.6229933249997,0.8295,1.02127707,66.02725072,0.01514526
1,2000,0.1,0,3,256,3,1024,90,,80.13647546500579,356.6323691829966,203.47712526199757,151.64235656699748,0.9463,1.00658597,50.3580645,0.01985779
1,2000,0.1,0,3,256,3,1024,100,,80.13647546500579,388.68266606399993,231.60635196800285,161.93047848599963,0.9613,1.00429819,44.20527428,0.02262173
1,2000,0.1,0,3,256,1,1024,2,,34.55284413800109,184.27572165799938,14.144413763999182,169.1596467230047,0.0574,1.2535391,1092.14206044,0.00091563
1,2000,0.1,0,3,256,1,1024,50,,34.55284413800109,256.8330522390024,103.97680061299616,152.0266832490015,0.4597,1.08158768,101.17263566,0.0098841
1,2000,0.1,0,3,256,1,1024,90,,34.55284413800109,305.3618999140017,155.67303925099986,149.27398620700114,0.6189,1.05415633,66.36302374,0.01506863
1,2000,0.1,0,3,256,1,1024,100,,34.55284413800109,328.7262475719981,180.90697214000102,149.828128920999,0.6581,1.04899761,56.99345204,0.01754588
1,2000,0.1,0,3,256,3,1024,2,,76.30004777399881,189.56784420199983,26.405245556998125,162.8332774570008,0.1331,1.18613257,473.66237899,0.00211121
1,2000,0.1,0,3,256,3,1024,50,,76.30004777399881,336.9503709029959,168.43141824100167,171.21698642800038,0.8478,1.01718488,61.32985278,0.01630527
1,2000,0.1,0,3,256,3,1024,90,,76.30004777399881,353.1245317810026,203.33019579599932,148.68907853100245,0.9552,1.00489657,50.38873558,0.01984571
1,2000,0.1,0,3,256,3,1024,100,,76.30004777399881,359.06652040599874,212.21865751500445,146.6267046599969,0.9657,1.00321867,48.22986747,0.02073404
1,2000,0.1,0,3,256,5,1024,2,,112.32593533700128,175.029978286002,28.903821257001255,145.99153654700058,0.1648,1.16628617,416.03503923,0.00240364
1,2000,0.1,0,3,256,5,1024,50,,112.32593533700128,316.85574566300056,172.45619141500356,146.16857855000126,0.9326,1.00782272,59.67131878,0.01675847
1,2000,0.1,0,3,256,5,1024,90,,112.32593533700128,353.8852295550023,206.39240479400178,145.5094453040001,0.9871,1.00184596,49.59316716,0.02016407
1,2000,0.1,0,3,256,5,1024,100,,112.32593533700128,364.7783116010032,215.92838819699682,147.19396027999755,0.9929,1.00103944,47.35446112,0.02111733
1,2000,0.1,0,3,256,10,1024,2,,210.4884337149997,181.93525362599757,33.306856451003114,147.98766569199506,0.2067,1.15103032,352.0511586,0.0028405
1,2000,0.1,0,3,256,10,1024,50,,210.4884337149997,323.7983551599973,180.04157660099736,147.48685415300133,0.9745,1.00247274,57.0701015,0.01752231
