knn,blocks,imbalance,kahip_mode,layers,nodes,epochs,batch_size,T,build_time_with_ivfflat,build_time_without_ivfflat,search_time_with_true,search_time_without_true,true_compute_time,recall,avg_AF,QPS,tApprox
1,2000,0.1,0,3,521,3,256,100,283.24122938804794,150.87164997501532,63.73355836397968,44.443901785009075,17.98429655795917,0.9982,1.00012528,240.84253599,0.00415209
1,2000,0.1,0,3,521,3,256,250,283.24122938804794,150.87164997501532,64.85263170901453,48.26115686201956,16.53871703398181,0.9998,1.00002789,221.33679459,0.004518
1,2000,0.1,0,3,256,1,256,2,183.30598164198454,52.355224556988105,28.8114544810378,12.745123478001915,16.889281285984907,0.2234,1.13887874,1052.46979777,0.00095015
1,2000,0.1,0,3,256,1,256,20,183.30598164198454,52.355224556988105,45.708302720973734,32.24270640598843,16.758571144018788,0.7009,1.02858036,342.53401557,0.00291942
1,2000,0.1,0,3,256,1,256,50,183.30598164198454,52.355224556988105,65.02513667102903,43.26177302398719,19.53484572097659,0.8967,1.00838412,252.68533419,0.00395749
1,2000,0.1,0,3,256,1,256,100,183.30598164198454,52.355224556988105,67.517954904004,50.82203172397567,18.522292062989436,0.9779,1.00168317,209.70917045,0.00476851
1,2000,0.1,0,3,256,1,256,250,183.30598164198454,52.355224556988105,72.44905318896053,51.730992523021996,20.797028204018716,0.9995,1.0000304,204.52003958,0.0048895
1,2000,0.1,0,3,256,3,256,2,271.65715841099154,150.33973729499849,30.705124249041546,12.630615005968139,18.0762308940175,0.2939,1.11152247,1036.03105716,0.00096522
1,2000,0.1,0,3,256,3,256,20,271.65715841099154,150.33973729499849,52.948913256987,34.06424972100649,18.462773752980866,0.8182,1.01619196,322.12887933,0.00310435
1,2000,0.1,0,3,256,3,256,50,271.65715841099154,150.33973729499849,58.9416206679889,42.69089889898896,16.70264670503093,0.9671,1.00269965,251.51452741,0.00397591
1,2000,0.1,0,3,256,3,256,100,271.65715841099154,150.33973729499849,64.24714340700302,45.48791508900467,18.008565734955482,0.9968,1.00019025,234.91525096,0.00425685
1,2000,0.1,0,3,256,3,256,250,271.65715841099154,150.33973729499849,68.71790645597503,51.61186419299338,17.37395264900988,1.0,1.0,205.39075948,0.00486877
1,2000,0.1,0,3,256,5,256,2,387.09210432099644,280.7036133760121,31.942274797998834,13.8195154700079,18.6112118739984,0.3905,1.08053948,941.04676881,0.00106265
1,2000,0.1,0,3,256,5,256,20,387.09210432099644,280.7036133760121,59.43139355699532,38.70478076295694,19.797524609952234,0.9222,1.00564701,282.87755971,0.0035351
1,2000,0.1,0,3,256,5,256,50,387.09210432099644,280.7036133760121,62.60407614696305,43.99859110999387,18.00539921503514,0.9928,1.00045246,244.88975111,0.00408347
